Category,Item,Calories,Calories from Fat,Total Fat,Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein
Breakfast,Egg McMuffin,300,120,13,5,25,0,260,750,31,4,3,17
Breakfast,Egg White Delight,250,70,8,3,15,0,25,770,30,4,3,18
Breakfast,Sausage McMuffin,370,200,23,8,42,0,45,780,29,4,2,14
Breakfast,Sausage McMuffin with Egg,450,250,28,10,52,0,285,860,30,4,2,21
Breakfast,Sausage McMuffin with Egg Whites,400,210,23,8,42,0,50,880,30,4,2,21
Breakfast,Steak & Egg McMuffin,430,210,23,9,46,1,300,960,31,4,3,26
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,230,26,13,65,0,250,1300,38,2,3,19
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,270,30,14,68,0,250,1410,43,3,4,19
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",410,180,20,11,56,0,35,1300,36,2,3,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,220,25,12,59,0,35,1420,42,3,4,20
Breakfast,Sausage Biscuit (Regular Biscuit),430,240,27,12,62,0,30,1080,34,2,2,11
Breakfast,Sausage Biscuit (Large Biscuit),480,280,31,13,65,0,30,1190,39,3,3,11
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),510,290,33,14,71,0,250,1170,36,2,2,18
Breakfast,Sausage Biscuit with Egg (Large Biscuit),570,330,37,15,74,0,250,1280,42,3,3,18
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),460,250,27,12,62,0,35,1180,34,2,3,18
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),520,280,32,13,65,0,35,1290,40,3,3,18
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),410,180,20,8,41,0,30,1180,41,2,3,17
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),470,220,24,9,45,0,30,1290,46,3,4,17
Breakfast,Steak & Egg Biscuit (Regular Biscuit),540,290,32,16,78,1,280,1470,38,2,3,25
Breakfast,"Bacon, Egg & Cheese McGriddles",460,190,21,9,44,0,250,1250,48,2,15,19
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",400,140,15,7,34,0,35,1250,47,2,16,20
Breakfast,Sausage McGriddles,420,200,22,8,40,0,35,1030,44,2,15,11
Breakfast,"Sausage, Egg & Cheese McGriddles",550,280,31,12,61,0,265,1320,48,2,15,20
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",500,230,26,10,52,0,50,1320,46,2,15,21
Breakfast,"Bacon, Egg & Cheese Bagel",620,280,31,11,56,0.5,275,1480,57,3,7,30
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",570,230,25,9,45,0.5,60,1480,55,3,8,30
Breakfast,"Steak, Egg & Cheese Bagel",670,310,35,13,63,1.5,295,1510,56,3,7,33
Breakfast,Big Breakfast (Regular Biscuit),740,430,48,17,87,0,555,1560,51,3,3,28
Breakfast,Big Breakfast (Large Biscuit),800,470,52,18,90,0,555,1680,56,4,3,28
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),640,330,37,14,69,0,35,1590,50,3,3,26
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),690,370,41,14,72,0,35,1700,55,4,4,26
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),1090,510,56,19,96,0,575,2150,111,6,17,36
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),1150,540,60,20,100,0,575,2260,116,7,17,36
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),990,410,46,16,78,0,55,2170,110,6,17,35
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),1050,450,50,16,81,0,55,2290,115,7,18,35
Breakfast,Hotcakes,350,80,9,2,9,0,20,590,60,3,14,8
Breakfast,Hotcakes and Sausage,520,210,24,7,36,0,50,930,61,3,14,15
Breakfast,Sausage Burrito,300,150,16,7,33,0,115,790,26,1,2,12
Breakfast,Hash Brown,150,80,9,1.5,6,0,0,310,15,2,0,1
Breakfast,Cinnamon Melts,460,170,19,9,43,0,15,370,66,3,32,6
Breakfast,Fruit & Maple Oatmeal,290,35,4,1.5,8,0,5,160,58,5,32,5
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,260,40,4,1.5,8,0,5,115,49,5,18,5
Beef & Pork,Big Mac,530,240,27,10,48,1,85,960,47,3,9,24
Beef & Pork,Quarter Pounder with Cheese,520,240,26,12,61,1.5,95,1100,41,3,10,30
Beef & Pork,Quarter Pounder with Bacon & Cheese,600,260,29,13,63,1.5,105,1440,48,3,12,37
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,610,280,31,13,64,1.5,105,1180,46,3,10,37
Beef & Pork,Quarter Pounder Deluxe,540,250,27,11,54,1.5,85,960,45,3,9,29
Beef & Pork,Double Quarter Pounder with Cheese,750,380,43,19,96,2.5,160,1280,42,3,10,48
Beef & Pork,Hamburger,240,70,8,3,15,0,30,480,32,1,6,12
Beef & Pork,Cheeseburger,290,100,11,5,27,0.5,45,680,33,2,7,15
Beef & Pork,Double Cheeseburger,430,190,21,10,52,1,90,1040,35,2,7,24
Beef & Pork,Bacon Clubhouse Burger,720,360,40,15,75,1.5,115,1470,51,4,14,39
Beef & Pork,McDouble,380,150,17,8,40,1,75,840,34,2,7,22
Beef & Pork,Bacon McDouble,440,200,22,10,49,1,90,1110,35,2,7,27
Beef & Pork,Daily Double,430,200,22,9,44,1,80,760,34,2,7,22
Beef & Pork,Jalapeño Double,430,210,23,9,44,1,80,1030,35,2,6,22
Beef & Pork,McRib,500,240,26,10,48,0,70,980,44,3,11,22
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,510,200,22,3.5,18,0,45,990,55,3,10,24
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,350,80,9,2,9,0,65,820,42,3,8,28
Chicken & Fish,Premium Crispy Chicken Club Sandwich,670,300,33,9,44,0,85,1410,58,3,11,36
Chicken & Fish,Premium Grilled Chicken Club Sandwich,510,180,20,7,36,0,105,1250,44,3,9,40
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,610,250,28,6,31,0,70,1400,57,3,11,32
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,450,130,15,4.5,22,0,90,1230,43,3,9,36
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,750,340,38,10,51,0.5,90,1720,65,4,16,36
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,590,230,25,8,42,0,110,1560,51,4,14,40
Chicken & Fish,Southern Style Crispy Chicken Sandwich,430,170,19,3,15,0,45,910,43,2,7,21
Chicken & Fish,McChicken,360,140,16,3,15,0,35,800,40,2,5,14
Chicken & Fish,Bacon Cheddar McChicken,480,220,24,7,35,0,65,1260,43,2,6,22
Chicken & Fish,Bacon Buffalo Ranch McChicken,430,190,21,5,25,0,50,1260,41,2,6,20
Chicken & Fish,Buffalo Ranch McChicken,360,150,16,3,16,0,35,990,40,2,5,14
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),630,280,32,9,45,0.5,80,1540,56,3,7,32
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),480,170,19,7,36,0,95,1370,42,3,6,36
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),610,280,31,8,40,0.5,65,1340,56,3,8,27
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),450,160,18,6,31,0.5,80,1170,42,3,6,30
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),670,300,33,8,40,0.5,60,1480,68,5,12,27
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),520,180,20,6,32,0,80,1320,55,5,10,31
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),540,200,23,4.5,23,0,50,1260,61,3,14,23
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),380,90,10,3,14,0,65,1090,47,3,12,27
Chicken & Fish,Chicken McNuggets (4 piece),190,110,12,2,10,0,25,360,12,1,0,9
Chicken & Fish,Chicken McNuggets (6 piece),280,160,18,3,15,0,40,540,18,1,0,13
Chicken & Fish,Chicken McNuggets (10 piece),470,270,30,5,25,0,65,900,30,2,0,22
Chicken & Fish,Chicken McNuggets (20 piece),940,530,59,10,50,0,135,1800,59,3,0,44
Chicken & Fish,Chicken McNuggets (40 piece),1880,1060,118,20,101,1,265,3600,118,6,1,87
Chicken & Fish,Filet-O-Fish,390,170,19,4,19,0,40,590,39,2,5,15
Salads,Premium Bacon Ranch Salad (without Chicken),140,70,7,3.5,18,0,25,300,10,3,4,9
Salads,Premium Bacon Ranch Salad with Crispy Chicken,380,190,21,6,29,0,70,860,22,2,5,25
Salads,Premium Bacon Ranch Salad with Grilled Chicken,220,80,8,4,20,0,85,690,8,2,4,29
Salads,Premium Southwest Salad (without Chicken),140,40,4.5,2,9,0,10,150,20,6,6,6
Salads,Premium Southwest Salad with Crispy Chicken,450,190,22,4.5,22,0,50,850,42,7,12,23
Salads,Premium Southwest Salad with Grilled Chicken,290,80,8,2.5,13,0,70,680,28,7,10,27
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),340,130,15,4.5,22,0,30,780,37,1,8,14
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),260,70,8,3.5,18,0,40,700,30,1,7,16
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),330,130,15,4.5,22,0,35,730,34,1,3,14
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),250,70,8,3.5,18,0,45,650,27,1,2,16
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),360,180,20,5,27,0,40,810,32,1,3,15
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),280,120,13,4.5,22,0,45,720,25,1,2,16
Snacks & Sides,Small French Fries,230,100,11,1.5,8,0,0,130,30,2,0,2
Snacks & Sides,Medium French Fries,340,140,16,2.5,11,0,0,190,44,4,0,4
Snacks & Sides,Large French Fries,510,220,24,3.5,17,0,0,290,67,5,0,6
Snacks & Sides,Kids French Fries,110,50,5,1,4,0,0,65,15,1,0,1
Snacks & Sides,Side Salad,20,0,0,0,0,0,0,10,4,1,2,1
Snacks & Sides,Apple Slices,15,0,0,0,0,0,0,0,4,0,3,0
Snacks & Sides,Fruit 'n Yogurt Parfait,150,20,2,1,5,0,5,70,30,1,23,4
Desserts,Baked Apple Pie,250,110,13,7,35,0,0,170,32,4,13,2
Desserts,Chocolate Chip Cookie,160,70,8,3.5,19,0,10,90,21,1,15,2
Desserts,Oatmeal Raisin Cookie,150,50,6,2.5,13,0,10,135,22,1,13,2
Desserts,Kids Ice Cream Cone,45,10,1.5,1,4,0,5,20,7,0,6,1
Desserts,Hot Fudge Sundae,330,80,9,7,34,0,25,170,53,1,48,8
Desserts,Hot Caramel Sundae,340,70,8,5,24,0,30,150,60,0,43,7
Desserts,Strawberry Sundae,280,60,6,4,20,0,25,85,49,0,45,6
Beverages,Coca-Cola Classic (Small),140,0,0,0,0,0,0,0,39,0,39,0
Beverages,Coca-Cola Classic (Medium),200,0,0,0,0,0,0,5,55,0,55,0
Beverages,Coca-Cola Classic (Large),280,0,0,0,0,0,0,5,76,0,76,0
Beverages,Coca-Cola Classic (Child),100,0,0,0,0,0,0,0,28,0,28,0
Beverages,Diet Coke (Small),0,0,0,0,0,0,0,10,0,0,0,0
Beverages,Diet Coke (Medium),0,0,0,0,0,0,0,20,0,0,0,0
Beverages,Diet Coke (Large),0,0,0,0,0,0,0,35,0,0,0,0
Beverages,Diet Coke (Child),0,0,0,0,0,0,0,15,0,0,0,0
Beverages,Dr Pepper (Small),140,0,0,0,0,0,0,45,37,0,35,0
Beverages,Dr Pepper (Medium),190,0,0,0,0,0,0,65,53,0,51,0
Beverages,Dr Pepper (Large),270,0,0,0,0,0,0,90,72,0,70,0
Beverages,Dr Pepper (Child),100,0,0,0,0,0,0,30,27,0,26,0
Beverages,Diet Dr Pepper (Small),0,0,0,0,0,0,0,70,0,0,0,2
Beverages,Diet Dr Pepper (Medium),0,0,0,0,0,0,0,100,0,0,0,3
Beverages,Diet Dr Pepper (Large),0,0,0,0,0,0,0,140,0,0,0,4
Beverages,Diet Dr Pepper (Child),0,0,0,0,0,0,0,50,0,0,0,1
Beverages,Sprite (Small),140,0,0,0,0,0,0,30,37,0,37,0
Beverages,Sprite (Medium),200,0,0,0,0,0,0,45,54,0,54,0
Beverages,Sprite (Large),280,0,0,0,0,0,0,60,74,0,74,0
Beverages,Sprite (Child),100,0,0,0,0,0,0,25,27,0,27,0
Beverages,1% Low Fat Milk Jug,100,20,2.5,1.5,8,0,10,125,12,0,12,8
Beverages,Fat Free Chocolate Milk Jug,130,0,0,0,0,0,5,135,23,1,22,9
Beverages,Minute Maid 100% Apple Juice Box,80,0,0,0,0,0,0,15,21,0,19,0
Beverages,Minute Maid Orange Juice (Small),150,0,0,0,0,0,0,0,34,0,30,2
Beverages,Minute Maid Orange Juice (Medium),190,0,0,0,0,0,0,0,44,0,39,3
Beverages,Minute Maid Orange Juice (Large),280,0,0,0,0,0,0,5,65,0,58,4
Beverages,Dasani Water Bottle,0,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Iced Tea (Small),0,0,0,0,0,0,0,10,0,0,0,0
Coffee & Tea,Iced Tea (Medium),0,0,0,0,0,0,0,10,0,0,0,0
Coffee & Tea,Iced Tea (Large),0,0,0,0,0,0,0,15,0,0,0,0
Coffee & Tea,Iced Tea (Child),0,0,0,0,0,0,0,5,0,0,0,0
Coffee & Tea,Sweet Tea (Small),150,0,0,0,0,0,0,10,36,0,36,1
Coffee & Tea,Sweet Tea (Medium),180,0,0,0,0,0,0,10,45,0,45,1
Coffee & Tea,Sweet Tea (Large),220,0,0,0,0,0,0,10,54,0,54,1
Coffee & Tea,Sweet Tea (Child),110,0,0,0,0,0,0,5,27,0,27,0
Coffee & Tea,Coffee (Small),0,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Coffee (Medium),0,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Coffee (Large),0,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Latte (Small),170,80,9,5,24,0,25,115,15,1,12,9
Coffee & Tea,Latte (Medium),210,90,10,6,30,0,30,140,18,1,15,11
Coffee & Tea,Latte (Large),280,120,14,8,39,0,40,180,24,1,20,15
Coffee & Tea,Caramel Latte (Small),270,80,9,5,24,0,25,115,40,1,38,9
Coffee & Tea,Caramel Latte (Medium),340,90,10,6,30,0,30,140,50,1,48,11
Coffee & Tea,Caramel Latte (Large),430,120,14,8,39,0,40,180,62,1,59,15
Coffee & Tea,Hazelnut Latte (Small),270,80,9,5,24,0,25,115,40,1,38,9
Coffee & Tea,Hazelnut Latte (Medium),330,90,10,6,30,0,30,140,50,1,47,11
Coffee & Tea,Hazelnut Latte (Large),430,120,14,8,39,0,40,180,62,1,58,15
Coffee & Tea,French Vanilla Latte (Small),260,80,9,5,24,0,25,115,38,1,36,9
Coffee & Tea,French Vanilla Latte (Medium),330,90,10,6,30,0,30,140,48,1,45,11
Coffee & Tea,French Vanilla Latte (Large),420,120,14,8,39,0,40,190,60,1,56,15
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),210,80,9,5,24,0,25,150,24,1,12,9
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),260,90,10,6,30,0,30,190,29,1,15,12
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),330,120,14,8,39,0,40,240,37,2,20,15
Coffee & Tea,Nonfat Latte (Small),100,0,0,0,0,0,5,110,15,1,13,10
Coffee & Tea,Nonfat Latte (Medium),130,0,0,0,0,0,5,135,19,1,16,12
Coffee & Tea,Nonfat Latte (Large),170,0,0.5,0,0,0,10,180,25,1,21,16
Coffee & Tea,Nonfat Caramel Latte (Small),200,0,0,0,0,0,5,110,41,1,39,10
Coffee & Tea,Nonfat Caramel Latte (Medium),250,0,0,0,0,0,5,135,51,1,48,12
Coffee & Tea,Nonfat Caramel Latte (Large),310,0,0.5,0,0,0,10,180,63,1,59,16
Coffee & Tea,Nonfat Hazelnut Latte (Small),200,0,0,0,0,0,5,110,40,1,38,10
Coffee & Tea,Nonfat Hazelnut Latte (Medium),250,0,0,0,0,0,5,135,51,1,48,12
Coffee & Tea,Nonfat Hazelnut Latte (Large),310,0,0.5,0,0,0,10,180,63,1,59,16
Coffee & Tea,Nonfat French Vanilla Latte (Small),190,0,0,0,0,0,5,115,39,1,37,10
Coffee & Tea,Nonfat French Vanilla Latte (Medium),240,0,0,0,0,0,5,140,49,1,46,12
Coffee & Tea,Nonfat French Vanilla Latte (Large),300,0,0.5,0,0,0,10,180,60,1,56,16
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),140,0,0,0,0,0,5,150,24,1,13,10
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),170,0,0,0,0,0,5,180,30,1,16,12
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),220,0,0.5,0,0,0,10,240,38,2,21,16
Coffee & Tea,Mocha (Small),340,100,11,7,34,0,35,150,49,2,42,10
Coffee & Tea,Mocha (Medium),410,120,14,8,40,0,40,190,60,2,53,13
Coffee & Tea,Mocha (Large),500,150,17,10,49,0.5,50,240,72,2,63,16
Coffee & Tea,Mocha with Nonfat Milk (Small),270,30,3.5,2,11,0,15,150,49,2,43,11
Coffee & Tea,Mocha with Nonfat Milk (Medium),330,30,3.5,2,11,0,15,190,60,2,53,13
Coffee & Tea,Mocha with Nonfat Milk (Large),390,35,4,2.5,12,0,20,240,73,2,64,17
Coffee & Tea,Caramel Mocha (Small),320,100,11,7,33,0,35,170,45,1,40,10
Coffee & Tea,Caramel Mocha (Medium),390,120,14,8,40,0.5,40,220,55,1,50,12
Coffee & Tea,Caramel Mocha (Large),480,150,17,10,49,0.5,50,270,66,1,60,16
Coffee & Tea,Nonfat Caramel Mocha (Small),250,30,3.5,2,10,0,15,170,45,1,41,10
Coffee & Tea,Nonfat Caramel Mocha (Medium),310,30,3.5,2,11,0,15,210,56,1,51,13
Coffee & Tea,Nonfat Caramel Mocha (Large),370,35,3.5,2.5,11,0,20,270,67,1,61,17
Coffee & Tea,Hot Chocolate (Small),360,120,13,8,39,0,40,180,50,1,45,11
Coffee & Tea,Hot Chocolate (Medium),440,140,16,9,47,0.5,50,220,61,1,56,14
Coffee & Tea,Hot Chocolate (Large),540,180,20,12,58,0.5,60,280,73,1,68,17
Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),280,30,3.5,2,11,0,15,180,50,1,46,12
Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),340,30,3.5,2,11,0,15,220,61,1,57,14
Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),400,35,3.5,2.5,12,0,20,280,74,1,69,19
Coffee & Tea,Regular Iced Coffee (Small),140,40,4.5,3,15,0,15,35,23,0,22,1
Coffee & Tea,Regular Iced Coffee (Medium),190,60,7,4.5,22,0,25,50,31,0,30,1
Coffee & Tea,Regular Iced Coffee (Large),270,80,9,6,29,0,35,75,47,0,45,2
Coffee & Tea,Caramel Iced Coffee (Small),130,40,4.5,3,15,0,15,35,22,0,21,1
Coffee & Tea,Caramel Iced Coffee (Medium),180,60,7,4.5,22,0,25,50,29,0,28,1
Coffee & Tea,Caramel Iced Coffee (Large),260,80,9,6,29,0,35,65,43,0,42,2
Coffee & Tea,Hazelnut Iced Coffee (Small),130,40,4.5,3,15,0,15,35,21,0,20,1
Coffee & Tea,Hazelnut Iced Coffee (Medium),180,60,7,4.5,22,0,25,50,29,0,28,1
Coffee & Tea,Hazelnut Iced Coffee (Large),250,80,9,6,29,0,35,75,43,0,41,2
Coffee & Tea,French Vanilla Iced Coffee (Small),120,40,4.5,3,15,0,15,40,20,0,19,1
Coffee & Tea,French Vanilla Iced Coffee (Medium),170,60,7,4.5,22,0,25,55,27,0,26,1
Coffee & Tea,French Vanilla Iced Coffee (Large),240,80,9,6,29,0,35,80,41,0,39,2
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Small),80,40,4.5,3,15,0,15,65,9,0,1,1
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),120,60,7,4.5,22,0,25,90,12,0,2,1
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Large),160,80,9,6,29,0,35,135,18,0,2,2
Coffee & Tea,Iced Mocha (Small),290,100,11,7,33,0,35,125,41,1,34,8
Coffee & Tea,Iced Mocha (Medium),350,110,13,8,38,0,40,150,50,1,43,9
Coffee & Tea,Iced Mocha (Large),480,150,16,10,49,0.5,50,220,70,2,62,14
Coffee & Tea,Iced Mocha with Nonfat Milk (Small),240,45,5,3,16,0,20,125,41,1,35,8
Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),290,45,5,3.5,17,0,20,150,50,1,43,10
Coffee & Tea,Iced Mocha with Nonfat Milk (Large),390,50,6,3.5,18,0,25,220,71,2,62,14
Coffee & Tea,Iced Caramel Mocha (Small),280,100,11,7,33,0,35,140,38,0,33,8
Coffee & Tea,Iced Caramel Mocha (Medium),340,110,13,7,37,0,40,170,46,1,41,9
Coffee & Tea,Iced Caramel Mocha (Large),460,150,16,10,48,0.5,50,250,65,1,59,13
Coffee & Tea,Iced Nonfat Caramel Mocha (Small),230,45,5,3,16,0,20,140,38,0,33,8
Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),270,45,5,3,16,0,20,170,47,1,41,10
Coffee & Tea,Iced Nonfat Caramel Mocha (Large),370,50,6,3.5,17,0,25,250,65,1,59,14
Coffee & Tea,Frappé Mocha (Small),450,160,18,12,59,1,65,125,65,1,57,7
Coffee & Tea,Frappé Mocha (Medium),550,200,22,14,71,1,75,160,80,1,71,9
Coffee & Tea,Frappé Mocha (Large),670,240,26,17,85,1,90,190,98,1,88,11
Coffee & Tea,Frappé Caramel (Small),450,170,19,12,60,1,65,125,64,0,57,7
Coffee & Tea,Frappé Caramel (Medium),550,200,23,15,73,1,80,160,79,0,71,9
Coffee & Tea,Frappé Caramel (Large),670,250,27,17,87,1.5,95,190,96,0,88,11
Coffee & Tea,Frappé Chocolate Chip (Small),530,200,23,14,72,1,65,135,76,1,67,8
Coffee & Tea,Frappé Chocolate Chip (Medium),630,240,26,17,85,1,80,160,91,1,81,9
Coffee & Tea,Frappé Chocolate Chip (Large),760,280,31,20,101,1.5,95,200,111,1,99,12
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),220,5,0.5,0,0,0,5,40,50,3,44,2
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),260,5,1,0,0,0,5,50,62,4,54,3
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),340,10,1,0.5,3,0,5,65,79,5,70,4
Smoothies & Shakes,Strawberry Banana Smoothie (Small),210,5,0.5,0,0,0,5,50,47,3,44,3
Smoothies & Shakes,Strawberry Banana Smoothie (Medium),250,5,1,0,0,0,5,60,58,3,54,4
Smoothies & Shakes,Strawberry Banana Smoothie (Large),330,10,1,0.5,3,0,5,80,74,4,70,5
Smoothies & Shakes,Mango Pineapple Smoothie (Small),210,5,0.5,0,0,0,5,40,50,1,46,2
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),260,10,1,0,0,0,5,45,61,1,56,3
Smoothies & Shakes,Mango Pineapple Smoothie (Large),340,10,1,0.5,3,0,5,60,78,2,72,4
Smoothies & Shakes,Vanilla Shake (Small),530,140,15,10,49,1,60,160,86,0,63,11
Smoothies & Shakes,Vanilla Shake (Medium),660,170,19,12,61,1,75,200,109,0,81,14
Smoothies & Shakes,Vanilla Shake (Large),820,210,23,15,73,1,90,260,135,0,101,18
Smoothies & Shakes,Strawberry Shake (Small),550,150,16,10,52,1,60,160,90,0,79,12
Smoothies & Shakes,Strawberry Shake (Medium),690,180,20,13,63,1,75,210,114,0,100,15
Smoothies & Shakes,Strawberry Shake (Large),850,210,24,15,75,1,90,260,140,0,123,18
Smoothies & Shakes,Chocolate Shake (Small),560,150,16,10,51,1,60,240,91,1,77,12
Smoothies & Shakes,Chocolate Shake (Medium),700,180,20,12,62,1,75,300,114,2,97,15
Smoothies & Shakes,Chocolate Shake (Large),850,210,23,15,74,1,85,380,141,2,120,19
Smoothies & Shakes,Shamrock Shake (Medium),660,170,19,12,61,1,75,210,109,0,93,14
Smoothies & Shakes,Shamrock Shake (Large),820,210,23,15,73,1,90,260,135,0,115,18
Smoothies & Shakes,McFlurry with M&M’s Candies (Small),650,210,23,14,72,0.5,50,180,96,1,89,13
Smoothies & Shakes,McFlurry with M&M’s Candies (Medium),930,290,33,20,102,1,75,260,139,2,128,20
Smoothies & Shakes,McFlurry with M&M’s Candies (Snack),430,140,15,10,48,0,35,120,64,1,59,9
Smoothies & Shakes,McFlurry with Oreo Cookies (Small),510,150,17,9,44,0.5,45,280,80,1,64,12
Smoothies & Shakes,McFlurry with Oreo Cookies (Medium),690,200,23,12,58,1,55,380,106,1,85,15
Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),340,100,11,6,29,0,30,190,53,1,43,8
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Medium),810,290,32,15,76,1,60,400,114,2,103,21
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Snack),410,150,16,8,38,0,30,200,57,1,51,10
